DATE,N_WELLS,MONTHLY_GAS_PROD
2019-05-01,19889,14979209.0
2019-06-01,19949,15642876.0
2019-07-01,19729,15781224.0
2019-08-01,19705,15723079.0
2019-09-01,19646,15119047.0
2019-10-01,19539,15238810.0
2019-11-01,19454,14514424.0
2019-12-01,19474,15027317.0
2020-01-01,19328,14695734.0
2020-02-01,19281,13708999.0
2020-03-01,19265,14541123.0
2020-04-01,18905,13666485.0
2020-05-01,18591,14083041.0
2020-06-01,18382,13390996.0
2020-07-01,18222,13747676.0
2020-08-01,18246,13576515.0
2020-09-01,18342,13106043.0
2020-10-01,18297,13541754.0
2020-11-01,18422,12996630.0
2020-12-01,18283,13177073.0
2021-01-01,18308,12971751.0
2021-02-01,18170,10198215.0
2021-03-01,18307,13323235.0
2021-04-01,18264,12914199.0
2021-05-01,18335,13134151.0
2021-06-01,18308,12785487.0
2021-07-01,18478,13287905.0
2021-08-01,18513,13297821.0
2021-09-01,18512,12841472.0
2021-10-01,18536,13285111.0
2021-11-01,18594,12794294.0
2021-12-01,18530,12998612.0
2022-01-01,18510,12542910.0
2022-02-01,18416,11179210.0
2022-03-01,18443,12526289.0
2022-04-01,18519,12400866.0
